training_label,n_sites,n_site_morphotypes,sites
Ligustrum_,1,1,Nagakubo
Linnaea_,4,4,"Government Camp, OR | Homer | Ketchikan | Talkeetna"
Lithocarpus_,1,1,"Powers, OR"
Litsea_,1,1,Robinson Falls
Lonchocarpus_,1,4,Chamela
Lonicera_,6,6,"Bandon, OR | Hood River, OR | Parkdale, OR | Portal, AZ | Powers, OR | Santa Cruz, CA"
Lupinus_,1,1,"Half Moon Bay, CA"
Lysiloma_,1,1,Chamela
Macrolobium_,1,1,Ducke
Mahonia_,8,9,"Bandon, OR | Cape Blanco, OR | Childs, AZ | Hood River, OR | Parkdale, OR | Republic, WA | Three Lynx, OR | Wolf Creek, CO"
Malus_,8,8,"Cape Blanco, OR | Clearwater, WA | Hood River, OR | Ketchikan | Nestucca River, OR | Parkdale, OR | Portal, AZ | Three Lynx, OR"
Manihot_,1,1,Chamela
Mastixiodendron_,1,1,Seqaqa
Maytenus_,1,1,Gorgona
Melicope_,1,1,Robinson Falls
Memecylon_,1,1,Tanjung Tuan
Menziesia_,3,3,Homer | Ketchikan | Talkeetna
Miconia_,2,5,Ducke | Gorgona
Mouriri_,1,1,Ducke
Myrceugenia_,1,1,Los Queles
Myrica_,3,5,"Gorgona | North Bend, OR | Talkeetna"
Myristica_,1,1,Seqaqa
Ocotea_,1,1,Ducke
Oemleria_,5,5,"Clearwater, WA | Half Moon Bay, CA | Powers, OR | Santa Cruz, CA | Three Lynx, OR"
Oplopanax_,1,1,Ketchikan
Orites_,1,1,Noah Creek
Otoba_,1,1,Gorgona
Parinari_,1,1,Keka
Parkinsonia_,1,2,Empalme
Parkinsonia__Cercidium__,1,1,"Childs, AZ"
Paullinia_,1,1,Barro Colorado Island
Paypayrola_,1,1,Ducke
Peperomia_,1,1,Gorgona
Persea_,1,1,"Archbold, FL"
Persoonia_,1,1,Margaret River
Philadelphus_,3,3,"Hood River, OR | Parkdale, OR | Powers, OR"
Photinia_,1,1,"Placerville, CA"
Physocarpus_,9,10,"Bandon, OR | Cape Blanco, OR | Hood River, OR | Nestucca River, OR | North Bend, OR | Parkdale, OR | Powers, OR | Republic, WA | Three Lynx, OR"
Pimelea_,1,1,Margaret River
Pithecellobium_,1,2,Chamela
Platanus_,2,2,"Childs, AZ | Portal, AZ"
Populus_,4,4,"Childs, AZ | Homer | Portal, AZ | Red Fleet, UT"
Potentilla_,1,1,"Wolf Creek, CO"
Pourouma_,1,1,Barro Colorado Island
Pouteria_,1,3,Ducke
Prestonia_,1,1,Ducke
Prosopis_,4,4,"Alamos | Childs, AZ | Empalme | Portal, AZ"
Proustia_,1,1,Los Ruiles
Prunus_,4,5,"Chuzenji-ko | Placerville, CA | Portal, AZ | Robinson Falls"
Psychotria_,3,3,Ducke | Gorgona | Keka
Quararibea_,1,1,Ducke
Quercus_,3,6,"Childs, AZ | Placerville, CA | Portal, AZ"
Quiina_,2,2,Ducke | Gorgona
Randia_,1,1,Seqaqa
Rhamnus_,12,13,"Bandon, OR | Cape Blanco, OR | Clearwater, WA | Half Moon Bay, CA | Hood River, OR | North Bend, OR | Parkdale, OR | Placerville, CA | Portal, AZ | Powers, OR | Santa Cruz, CA | Three Lynx, OR"
Rhododendron_,6,7,"Bandon, OR | Cape Blanco, OR | Chuzenji-ko | Cockaponset Forest, CT | Government Camp, OR | North Bend, OR"
Rhus_,5,6,"Nagakubo | Placerville, CA | Portal, AZ | Red Fleet, UT | Santa Cruz, CA"
Ribes_,10,16,"Clearwater, WA | Government Camp, OR | Half Moon Bay, CA | Homer | Hood River, OR | Red Fleet, UT | Republic, WA | Santa Cruz, CA | Talkeetna | Wolf Creek, CO"
Rinorea_,1,2,Ducke
Robinia_,2,2,"IES, NY | Portal, AZ"
Rollinia_,1,1,Ducke
Rosa_,12,14,"Government Camp, OR | Half Moon Bay, CA | Hood River, OR | Parkdale, OR | Placerville, CA | Powers, OR | Red Fleet, UT | Republic, WA | Santa Cruz, CA | Talkeetna | Three Lynx, OR | Wolf Creek, CO"
Rubus_,16,21,"Bandon, OR | Clearwater, WA | Government Camp, OR | Half Moon Bay, CA | Homer | Nestucca River, OR | North Bend, OR | Republic, WA | Suganuma, Honshu | Talkeetna | Wolf Creek, CO | Yakasugi (1350m) | Yakusugi (1080m) | Yakusugi (260m) | Yakusugi (800m) | York, PA"
Salix_,20,55,"Bandon, OR | Cape Blanco, OR | Childs, AZ | Clearwater, WA | Government Camp, OR | Homer | Hood River, OR | Nestucca River, OR | North Bend, OR | Parkdale, OR | Placerville, CA | Portal, AZ | Powers, OR | Red Fleet, UT | Republic, WA | Santa Cruz, CA | Suganuma, Honshu | Talkeetna | Three Lynx, OR | Wolf Creek, CO"
Sambucus_,16,17,"Bandon, OR | Cape Blanco, OR | Clearwater, WA | Government Camp, OR | Half Moon Bay, CA | Homer | Hood River, OR | Ketchikan | Nestucca River, OR | North Bend, OR | Parkdale, OR | Powers, OR | Republic, WA | Santa Cruz, CA | Talkeetna | Wolf Creek, CO"
Sapindus_,1,1,"Portal, AZ"
Saurauia_,1,1,Robinson Falls
Scaevola_,1,1,Seqaqa
Securidaca_,1,1,Ducke
Senna_,1,1,Los Ruiles
Shepherdia_,1,1,"Red Fleet, UT"
Simmondsia_,2,2,"Childs, AZ | Empalme"
Siparuna_,1,1,Yasuni-upper slope
Sorbus_,4,4,"Clearwater, WA | Government Camp, OR | Talkeetna | Yakusugi (1080m)"
Souroubea_,1,1,Gorgona
Spiraea_,7,9,"Homer | Hood River, OR | Parkdale, OR | Pee Dee, SC | Republic, WA | Talkeetna | Three Lynx, OR"
Sterculia_,2,2,Alamos | Barro Colorado Island
Strychnos_,2,2,Barro Colorado Island | Gorgona
Swartzia_,1,3,Ducke
Symphoricarpos_,10,12,"Duke Forest, NC | Hood River, OR | Nestucca River, OR | Parkdale, OR | Placerville, CA | Portal, AZ | Powers, OR | Republic, WA | Three Lynx, OR | Wolf Creek, CO"
Syzygium_,7,9,Barro Colorado Island | Keka | Kepong | Pasoh | Robinson Falls | Seqaqa | Tanjung Tuan
Talisia_,1,1,Ducke
Tapirira_,1,1,Ducke
Tapura_,1,1,Ducke
Tecoma_,1,1,San Bartolo
Terminalia_,1,1,Ducke
Toxicodendron_,4,4,"Half Moon Bay, CA | Portal, AZ | Powers, OR | Santa Cruz, CA"
Turnera_,1,1,Barro Colorado Island
Ulmus_,1,1,CT-Swamp
Umbellularia_,4,4,"Half Moon Bay, CA | North Bend, OR | Powers, OR | Santa Cruz, CA"
Urophyllum_,1,1,Tanjung Tuan
Vaccinium_,12,27,"Bandon, OR | Cape Blanco, OR | Clearwater, WA | Government Camp, OR | Homer | Huyck Preserve, NY | Nestucca River, OR | North Bend, OR | Pee Dee, SC | Powers, OR | Talkeetna | Yakusugi (1080m)"
Viburnum_,5,5,"Government Camp, OR | Hood River, OR | Huyck Preserve, NY | Talkeetna | Yakasugi (1350m)"
Vismia_,1,1,Ducke
Vitis_,5,6,"Alamos | Childs, AZ | Nuri, Sonora | Placerville, CA | Portal, AZ"
Ximenia_,1,1,Chamela
