"fossil_name","species","site","morphotype","genus","family","order","genus_reported","family_reported","order_reported","genus_informal","family_informal","order_informal","age_ma","ln.leaf.area.mm2","feret.diam.ratio","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","teeth.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","pw2.a.ratio","margin.score"
"Rhus_malloryi_Republic","Rhus malloryi","Republic","Rhus malloryi (rp43)","Rhus","Anacardiaceae","Sapindales","Rhus","Anacardiaceae","Sapindales",FALSE,FALSE,FALSE,49.4,6.23407158580737,0.544597853123958,1.11054284219785,2.05687719539493,2.26910838389597,4.46373834547478,0.0308329751555238,0.0346335826549925,0.0681631043617242,0.0179226235050725,0.00105921826853071,0
"Sassafras_hesperia_Republic","Sassafras hesperia","Republic","Sassafras hesperia (rp48)","Sassafras","Lauraceae","Laurales","Sassafras","Lauraceae","Laurales",FALSE,FALSE,FALSE,49.4,6.80545188875451,0.679282651452743,1,0,0,0,0,0,0,0,0.00126973440193415,1
"Spiraea_sp_rp29_Republic","Spiraea sp. (rp29)","Republic","Spiraea sp. (rp29)","Spiraea","Rosaceae","Rosales","Spiraea","Rosaceae","Rosales",FALSE,FALSE,FALSE,49.4,5.78683537225313,0.548619943996772,1.12434212586877,2.68603819100243,3.09454354167875,8.12230353380488,0.0104689362829417,0.0120077573391041,0.0312940242734148,0.00432054133796295,0.00110749936250727,0
"Ternstroemia_sp_rp49_Republic","Ternstroemia sp. (rp49)","Republic","Ternstroemia sp. (rp49)","Ternstroemia","Theaceae","Ericales","Ternstroemia","Theaceae","Ericales",FALSE,FALSE,FALSE,49.4,7.72497429346204,0.544112864893555,1.05707296722075,1.98466359519963,2.09839297356147,1.79285782341301,0.0210776868004885,0.0223148289362537,0.0179963427557043,0.0103302874849537,0.00111343490724456,0
"Tilia_johnsoni_Republic","Tilia johnsoni","Republic","Tilia johnsoni (rp52)","Tilia","Malvaceae","Malvales","Tilia","Malvaceae","Malvales",FALSE,FALSE,FALSE,49.4,7.0357086432926,0.72470825212199,1.2787190195636,6.69410328414582,8.55987718836042,7.57285244269796,0.014241380168641,0.0182107236864771,0.0161108763966801,0.00212745151428571,NA,0
"Tsukada_davidifolia_Republic","Tsukada davidifolia","Republic","Tsukada davidifolia (rp56)","Tsukada","Nyssaceae","Cornales","Tsukada","Nyssaceae","Cornales",FALSE,FALSE,FALSE,49.4,NA,NA,1.24391170190824,1.7095686944304,2.12655250421797,1.32599621806162,0.053410823087338,0.0664383478468907,0.0414271445471019,0.0312422795652173,NA,0
"Ulmus_chuchuanus_Republic","Ulmus chuchuanus","Republic","Ulmus chuchuanus (rp50)","Ulmus","Ulmaceae","Rosales","Ulmus","Ulmaceae","Rosales",FALSE,FALSE,FALSE,49.4,8.05106194893226,0.693281634896746,1.20060431217013,1.78430861952018,2.14169581893115,2.51985869423053,0.0685227969836977,0.0822028273517714,0.0935883653592216,0.0435287990892857,0.00107482467854181,0
"Ulmus_sp_rp17_Republic","Ulmus sp. (rp17)","Republic","Ulmus sp. (rp17)","Ulmus","Ulmaceae","Rosales","Ulmus","Ulmaceae","Rosales",FALSE,FALSE,FALSE,49.4,7.6993819861671,0.640067973505466,1.38505073806461,2.46892439604033,3.44221350321873,2.34893012044207,0.0561147291683516,0.077479852565081,0.0529711287269166,0.0284619507115514,0.000578531243641935,0
"unknown_1_rp40_Republic","unknown-1 (rp40)","Republic","unknown-1 (rp40)","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.34985407247797,2.79127383810661,3.76781235776943,9.89837644436883,0.0267163353697653,0.0360631541005649,0.0947410967328536,0.00991321232142858,NA,0
"unknown_10_Republic","unknown-10","Republic","unknown-10","unknown","unknown","unknown","unknown","unknown","unknown",FALSE,FALSE,FALSE,49.4,NA,NA,1.22865340198462,1.91082503717358,2.34774168252072,20.0264574477055,0.0223699731838636,0.0274849436546588,0.234449155394995,0.012438656625,NA,0
