"Site","evergreen","n.percent","c.percent","c.n.ratio","leaf.thickness.mm","leaf.mass.g","petiole.width.cm","pw2.a.ratio","petiole.area.cm2","blade.area.cm2","perimeter.cm","shape.factor","major.length.cm","internal.perimeter.cm","tooth.area.cm2","primary.teeth.number","secondary.teeth.number","teeth.number","leaf.area.cm2","ln.leaf.area.mm2","leaf.mass.per.area.g.per.m2","compact","feret.diam.ratio","perim.area.cm2","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","margin.score","site.info","latitude","longitude","mat","map","gsmt","gsp","gdd","gsdd","gsl","cmmt","wmmt","mart"
"Los Ruiles",0.972222222222222,NA,NA,NA,NA,NA,0.133842105263158,0.00694736842105263,0.0742439024390244,12.5391707317073,14.3411463414634,0.601585365853659,5.42275609756098,13.5472727272727,0.181317073170732,14.0040487804878,0.272727272727273,14.0772195121951,12.6119268292683,6.51275609756098,NA,22.3100731707317,0.653853658536585,2.30229268292683,1.05343902439024,0.996219512195122,1.11085365853659,0.00892682926829268,0.0214390243902439,0.010780487804878,0.0121707317073171,2.27087804878049,0.463414634146341,NA,-35.8,-72.5,12.1,90.7,9.3,78.9,951,66,183,7.8,17.2,9.4
"Margaret River",1,NA,NA,NA,NA,NA,0.186676470588235,0.0118308823529412,0.12025,19.5733455882353,27.1038161764706,0.298272058823529,8.72791176470588,13.438,0.231602941176471,2.53308823529412,0,2.53308823529412,19.68325,6.33679411764706,NA,64.7033088235294,0.446742647058824,5.00805882352941,1.05283823529412,0.172441176470588,0.210566176470588,0.0170367647058824,0.0184411764705882,0.00985294117647059,0.0124632352941176,0.718625,0.75,NA,-34.1,115.1,16.3,106.8,14.5,94.6,2334,960,214,13,20.6,7.6
"Monte Guilarte",0.888888888888889,NA,NA,NA,NA,0.311636363636364,0.13430303030303,0.00106060606060606,0.152612903225806,28.3786666666667,23.4898787878788,0.551515151515152,8.6860303030303,21.631375,0.0891818181818182,8.75757575757576,0,8.75757575757576,28.5215454545455,7.59378787878788,115.645606060606,24.0399696969697,0.639757575757576,1.20906060606061,1.01469696969697,0.447030303030303,0.479545454545455,0.0033939393939394,0.00306060606060606,0.00309090909090909,0.00339393939393939,0.627727272727273,0.757575757575758,NA,18.2,-66.8,19.4,270.7,19.3,270.7,3404,3404,365,17.5,20.9,3.4
"Mt. Read, Tasmania",0.956521739130435,NA,NA,NA,NA,NA,0.587869565217391,0.0307826086956522,8.97804347826087,22.2657391304348,15.948347826087,0.458217391304348,6.63613043478261,7.55833333333333,0.0524347826086956,6.6304347826087,0.266666666666667,6.80434782608696,31.242652173913,5.04591304347826,NA,34.9076086956522,0.551695652173913,6.10534782608696,1.03882608695652,1.02234782608696,1.13908695652174,0.00426086956521739,0.0214347826086957,0.00608695652173913,0.0068695652173913,4.48986956521739,0.630434782608696,NA,-41.8,145.6,6.5,371,9.1,251.3,306,306,365,5.1,13.5,8.4
"Murrua Track",1,NA,NA,NA,NA,NA,0.0950588235294118,0.00247058823529412,0.2404375,21.6966470588235,22.0800588235294,0.298823529411765,9.46294117647059,27.079,0.0111176470588235,0.784294117647059,0,0.784294117647059,21.9223529411765,6.27394117647059,NA,60.981,0.395235294117647,5.02194117647059,1.00252941176471,0.0274705882352941,0.0286470588235294,0.000823529411764706,0.001,0.000411764705882353,0.000411764705882353,0.072764705882353,0.941176470588235,NA,-33.6,151.3,16.8,122.8,16.9,122.8,2514,2514,365,10.9,21.9,11
"Nagakubo",0.803921568627451,NA,NA,NA,NA,0.235019230769231,0.132823529411765,0.000941176470588235,0.247196078431373,29.1839230769231,26.358,0.499615384615385,10.4593846153846,25.20948,0.252,20.3205,1.68518518518519,21.1955,29.4216730769231,7.70373076923077,82.3958653846154,26.89525,0.568634615384615,1.18365384615385,1.04078846153846,0.7765,0.862480769230769,0.00988461538461539,0.00861538461538462,0.00796153846153846,0.00884615384615385,0.94425,0.5,NA,30.3,131.3,19.5,357.9,19.4,357.9,3434,3434,365,11.4,27.3,15.9
"Nahuelbuta",0.909090909090909,NA,NA,NA,NA,NA,0.115735294117647,0.00252941176470588,0.0849393939393939,11.2355555555556,13.3872222222222,0.576666666666667,5.02475,12.988875,0.211777777777778,19.7152777777778,0.125,19.8125,11.3116944444444,6.21405555555556,NA,23.6531111111111,0.627916666666667,2.67238888888889,1.05386111111111,1.41136111111111,1.54877777777778,0.0110833333333333,0.025,0.0114166666666667,0.0126944444444444,3.92666666666667,0.333333333333333,NA,-37.8,-73.2,10,156.2,8.7,145.3,466,117,275,6.3,14.6,8.3
"Nestucca River, OR",0.117647058823529,NA,NA,NA,NA,0.257235294117647,0.181647058823529,0.00258823529411765,0.3778,38.1714117647059,32.6120588235294,0.463941176470588,8.81241176470588,31.033,1.59223529411765,45.0294117647059,2.63636363636364,46.7352941176471,38.5035294117647,7.49858823529412,86.0342352941177,37.7451176470588,0.663235294117647,1.52941176470588,1.12447058823529,1.65570588235294,1.99382352941176,0.0574117647058823,0.0217647058823529,0.0214117647058824,0.0258235294117647,2.68276470588235,0.235294117647059,NA,45,-124,11.4,103.1,9.8,99.8,1103,537,303,4.2,19.2,15
"Noah Creek",0.942307692307692,NA,NA,NA,NA,NA,0.17396875,0.00048125,0.170641975308642,66.9558658536585,38.6587804878049,0.510353658536585,15.7628231707317,29.8367727272727,0.0821585365853658,5.70731707317073,0,5.70731707317073,67.1244268292683,8.53415243902439,NA,26.2831951219512,0.557414634146342,0.805823170731707,1.02126829268293,0.161725609756098,0.18665243902439,0.00225,0.00237195121951219,0.00231707317073171,0.00271951219512195,0.166707317073171,0.865853658536585,NA,-16.2,145.5,25.6,208.9,27.4,183,5699,3150,181,22.3,28.1,5.8
"North Bend, OR",0.333333333333333,NA,NA,NA,NA,0.18532,0.136333333333333,0.00152380952380952,0.140681818181818,25.44996,24.88404,0.4944,7.63032,24.3184375,0.74472,37.38,15.1071428571429,45.84,25.59928,7.32836,77.20704,30.01056,0.65116,1.51676,1.14264,1.77936,2.28012,0.0184,0.02676,0.01844,0.02532,2.52304,0.38,NA,43.4,-124.2,11.4,162.8,9.5,150.7,698,129,243,7.5,15.3,7.8
"Nuri, Sonora",NA,NA,NA,NA,NA,0.0715925925925926,0.0828965517241379,0.00467241379310345,0.0967678571428571,9.962171875,14.41634375,0.499234375,4.7215,15.1548461538462,0.13153125,9.734375,0.431818181818182,10.03125,10.045796875,5.79690625,73.6977777777778,30.257046875,0.645921875,6.162609375,1.047734375,0.729796875,0.816875,0.0058125,0.011578125,0.006296875,0.00740625,1.909953125,0.609375,NA,28,-109.4,22.8,66.5,25.4,49.6,4685,1893,123,15.2,29.7,14.6
