"genusSpecies","genus","family","order","margin.score","lma_g_m2","petiole_width","petiole_area","blade_area","blade_perimeter","feret","minimum_feret","raw_blade_area","raw_blade_perimeter","internal_raw_blade_area","internal_raw_blade_perimeter","length_of_cut_perimeter","no_of_primary_teeth","no_of_subsidiary_teeth","mat_c","map_mm","latitude_n","longitude_e","leaf_area","feret_diameter","feret.diam.ratio","raw_blade_perimeter_corrected","internal_raw_blade_perimeter_corrected","total_tooth_count","teeth.interior.percm","perim.ratio","ln.leaf.area.mm2","ln_pr","ln_tc_ip","pw2.a.ratio","aspect_ratio","shape_factor","compactness","tooth_area","tooth.area.perimeter","tooth.area.interior","tooth.area.blade.area.ratio","avt.tooth.area","teeth.blade.area.ratio","teeth.perimeter.percm","log10_lma","log10_pw2a_ratio"
"Monanthotaxis_caffra","Monanthotaxis","Annonaceae","Magnoliales",NA,46.35040909,0.14,NA,14.8866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.06666667,943,-28.07206667,32.03855,14.8866,4.35364304998176,NA,NA,NA,NA,NA,NA,7.30563166544163,NA,NA,0.00131662031625757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66605357159261,-2.88053944776249
"Monotoca_glauca","Monotoca","Ericaceae","Ericales",1,166.3265306,0.07464224075,0.01,0.4185,2.92,1.225,NA,NA,NA,NA,NA,NA,NA,NA,8.095833778,1890,-42.8,146.4,0.4235,0.731228494818174,0.616661102865453,NA,NA,NA,0,1,3.72951331145435,NA,NA,0.0133934291714373,NA,0.646104362162766,19.4502780748663,NA,0,0,0,0,0,0,2.22096152867949,-1.87310821465605
"Monotoca_submutica","Monotoca","Ericaceae","Ericales",1,NA,0.050044565,0.01,0.15,1.81,0.76,NA,NA,NA,NA,NA,NA,NA,NA,8.095833778,1890,-42.8,146.4,0.16,0.451351666838205,0.593986609172356,NA,NA,NA,0,1,2.77258872223978,NA,NA,0.0157132321442092,NA,0.57584011205947,21.8466666666667,NA,0,0,0,0,0,0,NA,-1.80373447326575
"Morus_rubra","Morus","Moraceae","Rosales",0,32.3666666666667,0.11565878,0.586666666666667,116.4025,61.5408333333333,16.165,NA,116.4025,61.5408333333333,114.125833333333,56.3591666666667,0,94.3333333333333,2.6,17.279166695,1168.5,33.92,-80.51,116.989166666667,11.8102180931323,0.734048770801068,61.5408333333333,56.3591666666667,96.25,1.78723251442869,1.10411287651515,9.2327984800531,0.0985873754611022,0.547462158126625,0.000127091549409334,NA,0.41098397514947,33.9859992844503,2.27666666666666,0.0406995054142912,0.0453345119237031,0.023076442122975,0.0263719788226618,0.964098032207847,1.61414183022454,1.51009797518834,-3.89588332566084
"Mouriri_myrtilloides","Mouriri","Melastomataceae","Myrtales",1,83.7,0.052716449,NA,12.02,17.15,7.29,NA,NA,NA,NA,NA,NA,NA,NA,26.39583397,2496,9.17,-79.85,12.02,3.91207608920336,0.536635951879748,NA,NA,NA,0,1,7.09174211509515,NA,NA,0.000231199999598137,NA,0.51355396062728,24.4694259567388,NA,0,0,0,0,0,0,1.92272545799326,-3.63601217100638
"Muehlenbeckia_australis","Muehlenbeckia","Polygonaceae","Caryophyllales",0.5,NA,0.04896864225,0.155,3.21,7.305,2.465,NA,0.21,2.07,0.21,2.07,0,3,NA,11.212500094,1892,-40.66912582,173.78341345,3.2875,1.65576913663177,0.658141114456292,2.07,2.07,3,0.72463768115942,1,4.71243019177222,0,0.371063681390832,0.00129803037656725,NA,0.552768846550889,23.1384751276414,0,0,0,0,0,7.14285714285714,0.72463768115942,NA,-2.88671514403706
"Muehlenbeckia_axillaris","Muehlenbeckia","Polygonaceae","Caryophyllales",1,53.35,0.0381371585,0.045,0.995,3.81,1.2,NA,NA,NA,NA,NA,NA,NA,NA,12.95416641,949,-40.45,175.216667,1.04,1.1233856239946,0.935028096850829,NA,NA,NA,0,1,4.54577841799311,NA,NA,0.00146738188204109,NA,0.818336738276453,15.3560333416583,NA,0,0,0,0,0,0,1.72713442376049,-2.83345684751977
"Mutisia_ilicifolia","Mutisia","Asteraceae","Asterales",0,NA,NA,0.055,3.64,9.435,3.34,NA,3.64,9.435,3.37,7.92,0,22.5,NA,12.13333321,863,-35.8258,-72.5033,3.695,2.16118603816917,0.647523712790444,9.435,7.92,22.5,2.84524908674883,1.19229015294448,5.89763666791565,0.1758265815759,1.04548803160431,NA,NA,0.509086753165268,24.6997159740755,0.27,0.028458962836441,0.0339063064509654,0.0745057458744077,0.0119345238095238,6.29867654267197,2.38618109355619,NA,NA
"Myoschilos_oblongum","Myoschilos","Santalaceae","Santalales",1,NA,NA,0.03,3.025,7.91,3.37,NA,NA,NA,NA,NA,NA,NA,NA,8.958333015,1793,-40.2427,-73.3484,3.055,1.97209549330317,0.585801212994697,NA,NA,NA,0,1,5.72164833852278,NA,NA,NA,NA,0.609127355207909,20.7345761970383,NA,0,0,0,0,0,0,NA,NA
"Myrceugenia_planipes","Myrceugenia","Myrtaceae","Myrtales",1,NA,NA,0.055,12.68,15.595,6.535,NA,NA,NA,NA,NA,NA,NA,NA,8.958333015,1793,-40.2427,-73.3484,12.735,4.01008744723756,0.612737092611741,NA,NA,NA,0,1,7.13286997975528,NA,NA,NA,NA,0.648588988377134,19.5539775058619,NA,0,0,0,0,0,0,NA,NA
