"Site","evergreen","n.percent","c.percent","c.n.ratio","leaf.thickness.mm","leaf.mass.g","petiole.width.cm","pw2.a.ratio","petiole.area.cm2","blade.area.cm2","perimeter.cm","shape.factor","major.length.cm","internal.perimeter.cm","tooth.area.cm2","primary.teeth.number","secondary.teeth.number","teeth.number","leaf.area.cm2","ln.leaf.area.mm2","leaf.mass.per.area.g.per.m2","compact","feret.diam.ratio","perim.area.cm2","perim.ratio","teeth.perimeter.percm","teeth.interior.percm","avt.tooth.area","tooth.area.blade.area.ratio","tooth.area.perimeter","tooth.area.interior","teeth.blade.area.ratio","margin.score","site.info","latitude","longitude","mat","map","gsmt","gsp","gdd","gsdd","gsl","cmmt","wmmt","mart"
"Alamos",0,NA,NA,NA,NA,0.101,0.0924848484848485,0.0036969696969697,0.1435,13.2724,16.0483428571429,0.514142857142857,5.29665714285714,22.3499285714286,0.491857142857143,34.1428571428571,NA,34.1428571428571,13.3951714285714,6.01437142857143,80.8486129032258,28.4135142857143,0.6388,5.96877142857143,1.12957142857143,1.6255,1.8595,0.0273571428571429,0.0331428571428571,0.0181428571428571,0.0207857142857143,3.41285714285714,0.628571428571429,NA,27.1,-109,23.2,68.9,25.2,56.7,4829,2340,154,16.7,29,12.3
"Alcornocales Natural Park",0.619047619047619,NA,NA,NA,NA,NA,0.1886,0.0024,0.430666666666667,39.6579523809524,28.124380952381,0.492904761904762,9.20080952380952,33.7530909090909,2.12883333333333,24.875,20,26.5416666666667,40.088619047619,7.50319047619048,NA,28.5566666666667,0.623857142857143,1.47842857142857,1.05341666666667,1.08633333333333,1.14841666666667,0.111416666666667,0.0435,0.0456666666666667,0.0494166666666667,1.37266666666667,0.452380952380952,NA,36.2,-5.3,17.8,72.3,15.4,69.4,2863,1323,243,12.9,24,11.1
"Allegheny National Forest, PA",0.0425531914893617,NA,NA,NA,NA,NA,0.110488372093023,0.000302325581395349,NA,44.1574893617021,34.3118085106383,0.388042553191489,10.8102127659574,29.2439714285714,1.98731428571429,57.9428571428571,16.1176470588235,65.7714285714286,44.1574893617021,7.8871914893617,NA,37.3858085106383,0.606127659574468,1.33597872340426,1.23302857142857,2.21791428571429,2.77597142857143,0.0963142857142857,0.0459142857142857,0.0468857142857143,0.0583142857142857,3.50854285714286,0.25531914893617,NA,41.9,-78.7,6.1,116.2,13.9,64.6,787,787,184,-7.3,18.1,25.4
"Archbold, FL",0.588235294117647,1.44764705882353,46.8470588235294,33.2823529411765,0.222,0.153588235294118,0.1174,0.00146666666666667,0.114714285714286,13.537,17.1868235294118,0.536882352941176,6.62447058823529,18.8136666666667,0.236333333333333,29.4166666666667,NA,29.4833333333333,13.6313529411765,6.91711764705882,120.312235294118,25.8331764705882,0.597705882352941,1.71982352941176,1.059,1.46166666666667,1.56933333333333,0.00866666666666667,0.018,0.0106666666666667,0.0113333333333333,2.89766666666667,0.676470588235294,NA,27.2,-81.4,22.3,125.3,22.3,125.3,4483,4483,365,16,27.4,11.4
"Bandon, OR",0.259259259259259,NA,NA,NA,NA,0.171666666666667,0.1865,0.00269230769230769,0.175571428571429,19.6407037037037,22.1277407407407,0.505740740740741,7.30192592592593,21.1128,0.73365,55.575,3.72222222222222,57.25,19.7774814814815,7.25466666666667,87.1811111111111,28.8606666666667,0.655444444444444,1.52074074074074,1.1683,2.3262,2.70285,0.0153,0.0378,0.02685,0.0332,3.64815,0.259259259259259,NA,43.1,-124.4,11.2,158.5,9.4,146.1,652,113,243,7.6,15,7.5
"Barro Colorado Island",0.868852459016394,NA,NA,NA,NA,0.461960784313726,0.15247,0.00063,NA,66.733,36.2793358208955,0.549022388059701,14.3177313432836,30.3657142857143,0.467761904761905,32.1428571428571,14.3333333333333,34.1904761904762,66.733,8.31977611940298,66.7761078431373,25.1003208955224,0.578723880597015,0.928679104477612,1.03285714285714,1.15933333333333,1.21595238095238,0.0212857142857143,0.0124285714285714,0.0144285714285714,0.0152857142857143,1.04080952380952,0.843283582089552,NA,9.2,-79.9,26.5,262.4,26.6,248,6059,4557,275,25.7,28,2.3
"Big Hammock, GA",0.0384615384615385,1.7664,45.724,28.4,0.102884615384615,0.132538461538462,0.09228,6e-04,0.113478260869565,25.2595,24.2412307692308,0.470346153846154,7.82403846153846,22.6502631578947,0.96625,34.9667,6.0834,37.83325,25.3626538461538,7.29369230769231,58.776,33.9916153846154,0.636961538461538,1.63419230769231,1.13425,1.84895,2.13025,0.0451,0.0449,0.03405,0.0404,3.4557,0.269230769230769,NA,31.9,-82.1,19,120.2,19,120.2,3326,3326,365,9.7,27.5,17.8
"Borinquen",0.736842105263158,NA,NA,NA,NA,0.144317073170732,0.111305555555556,0.00236111111111111,0.075078947368421,10.2202682926829,12.9364390243902,0.613512195121951,5.01636585365854,10.6995714285714,0.122142857142857,26.7142857142857,NA,26.7142857142857,10.2883170731707,6.33321951219512,140.934926829268,22.5771463414634,0.672560975609756,2.36165853658537,1.12728571428571,2.287,2.497,0.00728571428571429,0.0257142857142857,0.00971428571428571,0.0108571428571429,6.44528571428571,0.829268292682927,NA,18,-66.9,25.2,126.8,25.3,123.2,5519,5105,334,23.4,26.4,3.1
"Buena Vista",0.864864864864865,NA,NA,NA,NA,0.361923076923077,0.152461538461538,0.00274358974358974,0.120305555555556,15.8535384615385,15.8007948717949,0.617615384615385,6.19820512820513,10.9612857142857,0.178857142857143,27.3571428571429,NA,27.3571428571429,15.9671282051282,6.76346153846154,200.322025641026,22.3178205128205,0.64025641025641,1.88215384615385,1.068,2.49871428571429,2.79828571428571,0.00885714285714286,0.0252857142857143,0.0144285714285714,0.0157142857142857,5.05885714285714,0.82051282051282,NA,18.3,-67,22.1,248.7,22.2,241.8,4402,4112,337,20.3,23.5,3.2
"Cabo Rojo",0.625,NA,NA,NA,NA,0.268066666666667,0.133379310344828,0.00337931034482759,0.104642857142857,17.2701,13.9535666666667,0.6561,4.96703333333333,9.131,0.124,22.25,2,22.5,17.3506333333333,6.33813333333333,145.425833333333,20.8435666666667,0.697366666666667,2.64733333333333,1.1235,3.2395,3.874,0.0065,0.046,0.01375,0.016,12.1405,0.866666666666667,NA,17.9,-67.2,25.9,100.8,26.1,97.9,5808,5412,337,24.1,27.3,3.2
