specimen_number,photo,leaf,site,morphotype,order,family,genus,species,Measurer.comments,margin,petiole_width,petiole_area,blade_area,blade_perimeter,feret,minimum_feret,raw_blade_area,raw_blade_perimeter,internal_raw_blade_area,internal_raw_blade_perimeter,length_of_cut_perimeter,no_of_primary_teeth,no_of_subsidiary_teeth,lma_g_m2,latitude_N,longitude_E,MAT_C,MAP_mm,diurnal.range_C,isothermality,temp.seasonality,max.temp.warmest.month_C,min.temp.coldest.month_C,MART_C,MART.quarter_C,temp.wet.quarter_C,temp.dry.quarter_C,temp.warm.quarter_C,temp.cold.quarter_C,precip.wet.month_mm,precip.dry.month_mm,precip.seasonality_mm,precip.wet.quarter_mm,precip.dry.quarter_mm,precip.season.month_mm,precip.season.quarter_mm,precip.warm.quarter_mm,precip.cold.quarter_mm
34,,,"Australia, Darwin: Vine_petiole_width_only",?Pachygone ovata,Rununculales,Menispermaceae,Pachygone,ovata,,,0.25,,50.4496,,,,,,,,,,,68.42472487,-12.41041667,130.8200833,27.69166667,1657.6,,,,,,,,,,,,,,,,,,,,
94,,,"South Africa, Zululand: Savanna_petiole_width_only",Acacia nigrescens,Fabales,Fabaceae,Acacia,nigrescens,,,0.09,,2.1304,,,,,,,,,,,103.2669921,-28.22128333,31.79411667,21.475,885.2,,,,,,,,,,,,,,,,,,,,
27,,,"Australia, Daintree_petiole_width_only",Acmena graveolens,Myrtales,Myrtaceae,Acmena,graveolens,,,0.32,,61.2345,,,,,,,,,,,138.7453151,-16.10325,145.4461667,25.55,1918.1,,,,,,,,,,,,,,,,,,,,
80,,,"Peru, Los Amigos, Successional vegetation on floodplain_petiole_width_only",Alchornea castanaefolium,Malpighiales,Euphorbiaceae,Alchornea,castanaefolium,,,0.22,,24.2992,,,,,,,,,,,82.30723645,-12.56735,-70.10526667,24.88333333,3432.6,,,,,,,,,,,,,,,,,,,,
51,,,"Australia, Toowomba_petiole_width_only",Alphitonia excelsa,Rosales,Rhamnaceae,Alphitonia,excelsa,,,0.15,,14.9071,,,,,,,,,,,125.4435806,-28.08541667,151.72905,17.38333333,701.3,,,,,,,,,,,,,,,,,,,,
45,,,"Australia, Tasmania: Nothofagus forest_petiole_width_only",Anopterus glandulosus,Escalloniales,Escalloniaceae,Anopterus,glandulosus,,,0.27,,23.2142,,,,,,,,,,,80.769529,-42.67931667,146.6689833,10.65833333,759.3,,,,,,,,,,,,,,,,,,,,
23,,,"Australia, Brisbane_petiole_width_only",Argyrodendron actinophyllum,Malvales,Malvaceae,Argyrodendron,actinophyllum,,,0.1888,,37.07723077,,,,,,,,,,,71.61753844,-28.21913333,153.1272,17.21666667,1585.7,,,,,,,,,,,,,,,,,,,,
24,,,"Australia, Brisbane_petiole_width_only",Argyrodendron trifoliatum,Malvales,Malvaceae,Argyrodendron,trifoliatum,,,0.1528,,20.56777778,,,,,,,,,,,90.75652315,-28.21913333,153.1272,17.21666667,1585.7,,,,,,,,,,,,,,,,,,,,
46,,,"Australia, Tasmania: Nothofagus forest_petiole_width_only",Atherosperma moschatum,Laurales,Atherospermataceae,Atherosperma,moschatum,,,0.19,,15.1517,,,,,,,,,,,80.98101203,-42.67931667,146.6689833,10.65833333,759.3,,,,,,,,,,,,,,,,,,,,
10,,,"Australia, Adelaide: Chenopod_petiole_width_only",Atriplex stipitata,Caryophyllales,Amaranthaceae,Atriplex,stipitata,,,0.08,,0.4761,,,,,,,,,,,130.2247427,-34.34738333,139.5173667,16.76666667,243.1,,,,,,,,,,,,,,,,,,,,
25,,,"Australia, Brisbane_petiole_width_only",Baloghia inophylla,Malpighiales,Euphorbiaceae,Baloghia,inophylla,,,0.31,,65.769625,,,,,,,,,,,126.2170797,-28.21913333,153.1272,17.21666667,1585.7,,,,,,,,,,,,,,,,,,,,
41,,,"Australia, Perth: Shrubland_petiole_width_only",Banksia attenuata,Proteales,Proteaceae,Banksia,attenuata,,,0.13,,4.8963,,,,,,,,,,,255.4990503,-31.68866667,115.8855167,18.26666667,773.9,,,,,,,,,,,,,,,,,,,,
58,,,"Congo, Kabo: Bai_petiole_width_only",Berlinia grandifolia,Fabales,Fabaceae,Berlinia,grandifolia,,,0.36,,216.8,,,,,,,,,,,82.81616907,2.159533333,16.15345,21.58333333,1671.9,,,,,,,,,,,,,,,,,,,,
73,,,"Mexico, Chamela_petiole_width_only",Caesalpinia eriostachys,Fabales,Fabaceae,Caesalpinia,eriostachys,,,0.02,,0.6686,,,,,,,,,,,37.09243195,19.49991667,-105.043,25.48333333,1365.9,,,,,,,,,,,,,,,,,,,,
