specimen_number,photo,leaf,site,morphotype,order,family,genus,species,Measurer.comments,margin,petiole_width,petiole_area,blade_area,blade_perimeter,feret,minimum_feret,raw_blade_area,raw_blade_perimeter,internal_raw_blade_area,internal_raw_blade_perimeter,length_of_cut_perimeter,no_of_primary_teeth,no_of_subsidiary_teeth,lma_g_m2,latitude_N,longitude_E,MAT_C,MAP_mm,diurnal.range_C,isothermality,temp.seasonality,max.temp.warmest.month_C,min.temp.coldest.month_C,MART_C,MART.quarter_C,temp.wet.quarter_C,temp.dry.quarter_C,temp.warm.quarter_C,temp.cold.quarter_C,precip.wet.month_mm,precip.dry.month_mm,precip.seasonality_mm,precip.wet.quarter_mm,precip.dry.quarter_mm,precip.season.month_mm,precip.season.quarter_mm,precip.warm.quarter_mm,precip.cold.quarter_mm
4157,4807,A,Alamos,"""legume sp.2""",Fabales,Fabaceae,,,NA,1,NA,0,3.95,8.45,3.17,NA,NA,NA,NA,NA,NA,NA,NA,32.9,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4160,4808,B,Alamos,"""legume sp.3""",Fabales,Fabaceae,,,NA,1,0.047570896,0.01,4.96,12.46,4.03,NA,NA,NA,NA,NA,NA,NA,NA,30.2,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4159,4808,A,Alamos,"""legume sp.3""",Fabales,Fabaceae,,,NA,1,0.088865836,0.01,8.1,16.6,5.23,NA,NA,NA,NA,NA,NA,NA,NA,29.6,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4162,4811,B,Alamos,"""legume sp.4""",Fabales,Fabaceae,,,NA,1,0.036257885,0,0.22,2.17,0.86,NA,NA,NA,NA,NA,NA,NA,NA,90.5,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4161,4811,A,Alamos,"""legume sp.4""",Fabales,Fabaceae,,,NA,1,0.043496982,0,0.34,2.79,1.08,NA,NA,NA,NA,NA,NA,NA,NA,58.7,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4163,4813,A,Alamos,"""legume sp.5""",Fabales,Fabaceae,,,NA,1,0.050914639,0.01,2.63,6.84,2.66,NA,NA,NA,NA,NA,NA,NA,NA,68.2,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4164,4813,B,Alamos,"""legume sp.5""",Fabales,Fabaceae,,,NA,1,0.050894015,0.02,4.23,9.68,3.81,NA,NA,NA,NA,NA,NA,NA,NA,68.3,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4165,4818,A,Alamos,"""legume sp.6""",Fabales,Fabaceae,,,NA,1,0.073277529,0.03,7.54,11.52,4.6,NA,NA,NA,NA,NA,NA,NA,NA,63.4,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4166,4818,B,Alamos,"""legume sp.6""",Fabales,Fabaceae,,,NA,1,0.065152593,0.03,8.04,11.33,4.18,NA,NA,NA,NA,NA,NA,NA,NA,44.6,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
4168,4819,B,Alamos,"""legume sp.7""",Fabales,Fabaceae,,,NA,1,0.038420592,0.01,1.24,4.73,1.81,NA,NA,NA,NA,NA,NA,NA,NA,48.3,27.06666806,-108.9666634,23.49166679,605,16.19999886,55.29010391,462.0696106,38.09999847,8.800000191,29.29999924,11.14999962,28.08333206,23.01666641,28.86666679,17.71666718,166,4,115.3345261,430,19,162,411,361,73
